SISN,REFD,LEVELDES,TITLE,DATECR,DATEACM,PHDESC,REFD_HIGHER,SCOPE,RESTRTX,TGU,ISA,CUSTOD,ASSMAT,RELMAT,AVAIL,PHYSCO,NOTES,ACCRUAL,FCODES,STATUSD,WEBD,DATESUBJ,DATEDSRC_BEGINNING,DATEDSRC_END,SCALE,GMD_1,GMD_2,GMD_3,GMD_4,GMD_5,GMD_6,GMD_7,GMD_8,ADMBIO,INDEXGEO_1,INDEXGEO_2,INDEXGEO_3,INDEXGEO_4,INDEXGEO_5,INDEXGEO_6,INDEXGEO_7,INDEXGEO_8,INDEXGEO_9,INDEXGEO_10,INDEXGEO_11,INDEXGEO_12,INDEXGEO_13,INDEXGEO_14,INDEXGEO_15,INDEXGEO_16,INDEXGEO_17,INDEXGEO_18,INDEXGEO_19,INDEXGEO_20,INDEXGEO_21,MODDATE,INDEXPROV,INDEXNAME,INDEXSUB,HOWTO,FINDAID:FINDAIDLINK:FINDAID_URL,IIL:IIL_URL,DATEOFF:OFFICEAB:AB_REFA:OFFICEC:C_REFA,DATEOFF_1_BEGINNING,DATEOFF_2_BEGINNING,DATEOFF_1_END,DATEOFF_2_END,OFFICEABC_1,OFFICEABC_2,WEBL,REF_ADD,REF_FILE,HIDDENNOTES,REST,CMTD
21461,F 1405-62-9,Sub-series,Reverend R. Hepolehto textual records,1907-1973,,0.1 centimetre of textual records; 5 microfilm reels of textual records,F 1405-62,"Sub-series consists of records pertaining to the Finnish United Church such as minutes of the Finnish Evangelical Presbyterian Congregation, minutes and records of the Young People's Association ""Toivon tahti"", and minutes of the Ladies' Guild ""Sisarliitto"". Also includes annual reports, brochures, financial records, copies of ""Kanadan Viesti"", and registers regarding membership, baptisms, funerals, and marriages.",No restrictions on access.,"Copyright held by creator. There are no restrictions on reporduction for research and private study. These materials cannot be published without the permission of the creator. If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,,,,,,,,"MSR 3721, MSR 3722",Approved,Y,,1907,1973,,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Please note that this material may be stored off-site. A minimum of 1 business day is required to retrieve off-site material from storage. Order using reference code F 1405-62-9 and container MU 9869 (barcode B435745). To view microfilm records, please consult self-serve microfilm reel MFN 289 (reels 1-5).",No finding aid is available for this sub-series. : : :,: :,: : : : :
23304,C 43-19,Series,"Specifications for Manning Chambers (Toronto, Ont.)",1899,,1 centimetres of textual records,C 43,"Series consists of specifications for an office building, known as Manning Chambers, located on northeast corner Queen and Terauley Street (now Bay).  These specifications were altered from those for Freehold Loan and Savings Building (1889).",No restrictions on access.,"Records are in the public domain. There are no restrictions on reproduction for research and private study.  If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,,,,,,,,Item 13,Approved,Y,,1899,,,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To view this material, order using reference code and barcode number B253737.Please note that this material may be stored off-site. A minimum of 1 business day is required to retrieve off-site material from storage. Please contact a Reference Archivist for more information.",No online listing of the material in this series is available. : : :,: :,: : : : :
6903,RG 22-5109,Series,Timiskaming District Supreme Court criminal assize minute book,1913-1948,,1 volume of textual records,,"Series consists of a bound volume of chronological minutes of proceedings of the superior court Judge sitting in criminal assizes. Typically, the superior court criminal assizes only dealt with serious offences such as rape, murder, perjury and so on.  These minutes generally include names of the relevant officers, a list of the accused and charges, names of witnesses, lists of evidence, names of the members of the Grand Jury, verdicts and sentences.",No restrictions on access.,Copyright is primarily held by the Crown. There are no restrictions on reproduction. Permission of the Archives of Ontario is required for publication.,,,,"See also RG 22-392 (Supreme Court Central Office Criminal Assize Clerk criminal indictment case files) and RG 22-517 (Supreme Court Registrar's criminal indictment files) for records sent by the local Clerk of Assize to the Criminal Assize Clerk in Toronto  For civil assize records, see Series RG 22-5110 (Timiskaming District Supreme Court civil assize minute book).  For criminal files maintained locally at Haileybury, see RG 22-5167 (Timiskaming District Supreme Court, District Court Judge's Criminal Court and Court of General Sessions of the Peace criminal case files).",,,,,,Approved,Y,,1913,1948,,Textual records,,,,,,,,,Timiskaming (Ont. : DIstrict),,,,,,,,,,,,,,,,,,,,,08/13/2002,Ontario. Supreme Court,,,Order using reference code RG 22-5109.,No list is available for this series. : : :,: :,1913-1948 : Supreme Court : BA51 : : :
2350,RG 80-13,Series,Division Registrar vital statistics records,1858-1942,1869-1942,425 volumes of textual records,,"Series consists largely of volumes containing registrations of births, marriages and deaths created by various Division Registrars (who were in fact city, town or county clerks) under the authority of the Vital Statistics Act.  These records were subsequently transferred to the Registrar General for a variety of reasons (e.g. lack of space, retirement of a registrar) under the authority of the Act. When an individual went to the Division Registrar to register an event, the information was recorded in a book or register and then forwarded to the Registrar General.  The registers themselves, along with any index books that may have been created, remain in the custody and control of the registrars and their successors, until such time as they are transferred to the Registrar General.  Certain other volumes in this series appear to have been created before the existence of the Registrar General, but they were later transferred to the Registrar General under the authority of the Vital Statistics Act.  The registers in this series are arranged by the year that they were acquired by the Archives of Ontario, and within each year, they are listed alphabetically by name of city, township, county or district.  The registers themselves are arranges by various methods, with the two most common being: chronological by the date of registration of the event; and by letter of the alphabet (i.e. all surnames beginning with the same letter are grouped together).  Registrations that are chronological by date of event are most often indexed at the front of the volume.","Researchers must use microfilm; otherwise, there are no restrictions on access.","This material is for research purposes only.  The Archives of Ontario does not issue birth, marriage or death certificates. The Archives of Ontario will certify photocopies of birth, marriage and death registrations which are produced in the presence of its staff in the Archives of Ontario Main Reading Room.",,,,,"This series is available on microfilm (MS 940, Reels 1-30; 35mm).",,"The Archives of Ontario has acquired additional Division Registrar vital statistics records.  These records are closed for microfilming, and this microfilm will be available to the public sometime in 2007.",,,Review,Y,,1858,1942,,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/2002,Ontario. Office of the Registrar General,,,"Consult the binder titled ""Inventory of the Death Records of the Office of the Registrar General"" in the Archives' Reading Room or consult the Vital Statistics pages in the Microfilm Interloan Catalogue on the Archives' website. The inventory and Interloan webpages provide detailed instructions on the various steps required in using these vital statistics records.","Consult the binder titled Inventory of the Death Records of the Office of the Registrar General"" in the Archives' Reading Room or consult the Vital Statistics pages in the Interloan Microfilm Catalogue on the Archives' website. The inventory and Interloan webpages provide detailed instructions on the various steps required in using these vital statistics records. : : :""","These records are available through the Archives of Ontario's Microfilm Interloan Service, which allows you to borrow microfilmed archival records through a library or other institution that participates in the interlibrary loan system. : http://www.archives.gov.on.ca/en/microfilm/v_divregistrar.aspx :",1869-1942 : Office of the Registrar General : BA125 : : :
3961,RG 47-27-2,Sub-series,Ontario Historical Studies Series arts interviews,"1964, 1975-1980",,31 audio reels; 2 audio cassettes; 23 centimetres of textual records,RG 47-27,"Sub-series consists of sound recordings and transcripts produced by the Ontario Historical Studies Series of interviews with twenty-four prominent individuals in the Ontario arts community. Interviewees include authors, actors / actresses, playwrights, journalists, broadcasters, and theatrical personalities.","No restrictions on access, except for interview (tape and transcript) with Arthur Gelber (RG 47-27-2-6, RG 47-27-2-7).  Access to this interview is restricted, except with permission of interviewee or interviewee's estate, for 100 years from the date of interview (or for 30 years after death of interviewee).; Researchers must use reference copies in place of original sound recordings.","Copyright has been transferred to the Archives of Ontario by the donor for all interviews, with the exception of RG 47-27-2- 23 (CBC copyright). There are no restrictions on reproduction, however permission of the Archives of Ontario is required for publication; submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,,,,Reference copies are available.,,Duration of audio reels and audio cassettes totals approximately 55.5 hours and transcripts total 1203 pages.,,,Approved,Y,,1964,1980,,Sound recordings,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/26/2000,,,,"To view this material, consult the list to round down your search and then order the appropriate reel and/or cassette, or transcript.",A list is available. : : :,: :,: : : : :
19726,F 1405-28-15,Sub-series,John French photographs,1925-1970,,9 photographs : black and white contact prints; 10 photographs : black and white photomechanical reproductions; 9 photographs : black and white negatives,F 1405-28,Sub-series consists of photographs of members of the Fenech and Aguis families and of religious activities at St. Paul the Apostle Church in Toronto.,No restrictions on access.,"Copyright held by creator. There are no restrictions on reporduction for research and private study. These materials cannot be published without the permission of the creator. If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,,,"For related records see F 1405-28-1, F 1405-28-2, F 1405-28-5, F 1405-28-9, F 1405-28-13, F 1405-28-16, F 1405-28-18 and F 1405-28-19.",,,,,MSR 5113,Approved,Y,,1925,1970,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Please note that this material is stored off-site. A minimum of 1-2 business days is required to retrieve the material from storage. Order using reference code F 1405-28 and containers B-262 (barcode B115726) and A-1633 (barcode B115537).,No finding aid is available for this sub-series. : : :,: :,: : : : :
3660,F 229-230,Series,Eaton's Archives Office newsclippings,[Microfilmed 1962-1967] (originally created 1896-1967),,15 reels of microfilm (textual records),F 229,"Series consists of newsclippings which deal with many difference aspects of Eaton's: from store openings to the cars owned by the Eaton family.  These newsclippings were microfilmed for Eaton's Archives Office between 1962 and 1967.  While most of the clippings are from Toronto papers, there are some from such places as PEI and Manitoba.  Also included are a few hand-typed press releases from Eaton's.  The first three reels of this series, containing clippings from 1896 to 1956, are arranged chronologically.  The remaining twelve reels are arranged by subject and year.  The date range for these clippings is 1905 to 1967.",There are no restrictions on access.,,,,,,,,,,,Approved,Y,,1896,1967,,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/2002,,,,"To view these records, consult the online finding aid to narrow your search, then use the appropriate reel of self-service microfilm.",An online finding aid list is available for this series. : P:\Finding Aids\Web Lists\F 229-230.pdf : :,: :,: : : : :
22668,RG 12-93,Series,Ministry of the Environment General Counsel's files,1965-1980,,3 metres of textual records; 12 maps,,"Series consists of operational and subject files collected by the General Counsel in his role as senior legal officer in the Ministry, responsible for advising the Minister and Deputy Minister on all legal, constitutional, and intergovernmental issues relating to the environment.  Series includes correspondence, memoranda, draft legislation, publications, notes, news releases and press clippings.  A major portion of the records deal with the dispute between the Ministry of the Environment and Dow Chemical Company over the effects of mercury contamination on water quality and human health, but other records deal with national and international agreements, ministry participation in conferences abroad in the United States, France, and Japan, and other legal cases in which the Ministry was involved.  The files are predominantly those of Henry Landis, General Counsel for the Ontario Water Resources Commission and later for the Ministry of the Environment.",Access to these records is governed by the Freedom of Information and Protection of Privacy Act. Requests for access to records 100 years old or less must be submitted in writing to the Information and Privacy Unit of the Archives of Ontario.,"Copyright is primarily held by the Crown. Series also contains material owned by various other copyright owners. To find out more about the copyright status of the particular material you wish to use, consult a Reference Archivist. There are no restrictions on reproduction for research and private study.  If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",Records were transferred to the Archives of Ontario from the Ministry of the Environment through the regular records scheduling process.,,,,,,Some documents are in Japanese.,No further accruals are expected.,,Approved,Y,,1965,1980,,Textual records,Cartographic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Water Resources CommissionOntario. Ministry of the Environment (1972-1993)Ontario. Ministry of the Environment (1972-1993). Office of the Deputy Minister,,,"Consult the online list to identify the records that you require, noting the ordering information. Requests for access to this material must be submitted in writing to the Information and Privacy Unit of the Archives of Ontario. Contact the Information and Privacy Unit for more information.Please note that this material may be stored off-site. A minimum of 1 business day is required to retrieve off-site material from storage. Please contact a Reference Archivist for more information.",An online list is available for this series. : : :,: :,1965-1972 : Ontario Water Resources Commission : BA127 : : : 1972-1980 : Ministry of the Environment : AA65 : Office of the Deputy Minister : CA2173 :
2564,RG 69-7,Series,Ontario Status of Women Council publications files,1977,,30 centimetres of textual records,,"Series consists of records created and maintained by the Ontario Status of Women Council pertaining to publications produced by the Council. Records include correspondence, printing requisitions, quotes, translation request copies, agreements, drafts and proofs, original sketches, and editors' notes, as well as final copies.  Requests for publications such as the Annual Report, ""About Face"", and ""Status"" are also included.",No restrictions on access.,"Copyright is primarily held by the Crown. There are no restrictions on reproduction, however permission of the Archives of Ontario is required for publication; submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,,,,,,,,This series was formerly RG 54-24.,Approved,Y,,1977,,,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/21/2000,Ontario Status of Women Council,,,"Please contact a Reference Archivist for information about obtaining access to this material. This is only a preliminary description as the records have not been listed or examined in detail. Therefore, the description may be incomplete.",No list is available. : : :,: :,", 1977 : Ontario Status of Women Council : BA143 : : :"
19235,F 4593-1-1,Sub-series,220 Bay Management Incorporated photographs,1997,,15 photographs : colour slides; 11 photographs : colour negatives; 8 photographs : colour contact prints; 6 photographs : colour prints,F 4593-1,Sub-series consists of photographs documenting a sculpture garden in Toronto commissioned by 220 Bay Management Incorporated.,No restrictions on access.,"Copyright has been transferred to the Archives by the donor. The sub-series may also contain material owned by various other copyright owners. To find out more about the copyright status of the particular material you wish to use, consult a Reference Archivist. There are no restrictions on reproduction for research and private study. If you wish to use any of this material other than for research and private study, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,,,,,,,,,Approved,Y,,1997,,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order using reference code F 4593-1-1 and barcode number B805072.Please note that this material may be stored off-site. A minimum of 1 business day is required to retrieve off-site material from storage. Please contact a Reference Archivist for more information.,No list or finding aid is available for this sub-series. : : :,: :,: : : : :
